Whatever you post/put online will stay there forever even if you delete it,true ,false ,Not if it's only up for a little while,true except for Snapchat
Which of the following is an example of malware?,A virus that deletes your files,A social media app,A game app,A messaging app
Which of the following is a safe way to download apps on your phone or tablet?,Only download apps from the official app store,Download apps from any website,Share your personal information when downloading apps,Download apps from any website that looks trustworthy
What is NOT a common requirement when making passwords?,Include your pets name,Having at least 1 number,Having at least one uppercase and one lowercase letter,Include at least one special character
Which of the following is an example of two-factor authentication?,A fingerprint scan and a password,A username and password,A strong password,A social media profile picture
Which of the following is a safe way to store your passwords?,Use a password manager,Write them down and leave them in a visible place,Use the same password for all your accounts,Share your passwords with your friends
Which of the following is a safe way to update your computer's software?,Only download software from official sources,Download software from any website,Share your personal information when downloading software,Download software from any website that looks trustworthy
What is a software update?,A program that provides bug fixes and new features for existing software,A type of computer virus,A program that helps protect a computer system from unauthorized access,A tool that helps speed up a computer system
What is two-factor authentication?,A way to make your accounts more secure by requiring two types of identification,A way to make your accounts more fun by adding games and videos,A way to make your account less secure by sharing your password with others,
Which term that you might use to describe an oil tanker disaster can also describe a data breach?,Spill,Disaster,Flow,
What is a group of computers printers and devices that are interconnected and governed as a whole?,Domain,Group,Flock,Herd
Security is the responsibility of which departments in an organization?,All of the above ,Human Resources,IT,C-suite
Which organization focuses on cybersecurity?,CISA,FBI,CIA,NASA
Who reports to the Chief Information Officer (CIO)?,All of the above ,IT Architecture team,IT Engineering Team,IT Operations Team
Who reports to the Chief Information Security Officer (CISO)?,All of the above ,Risk Management Team,Compliance Team,Incident Response Team
Which of the following best describes a security policy?,A set of rules that define what to protect and how to protect them from attackers,A group of individuals who enforce security rules,A set of instructions on what to be done when a data breach happens,None of the above
What is shoulder-surfing?,Someone looks over your shoulder to see what's on your computer screen,Someone surfs the web right next to you,Someone surfing in the ocean while holding their shoulders,
Can only bad people hack?,Yes,No,,
Is a blackhat hacker good or bad?,Bad,Both,Good,
Is a whitehat hacker good or bad?,Good,Both,Bad,
There's no difference in security if you use a school PC or your own computer.,FALSE,TRUE,,
An important safe browsing fundamental is: only enable the features you need.,TRUE,FALSE,,
"To improve cybersecurity, it's not necessary to protect your online activity or digital footprint.",FALSE,TRUE,,
It's a good idea to open and view fraud emails.,FALSE,TRUE,,
Cyberbullying has become more popular since mobile devices are convenient and often free of adult oversight.,TRUE,FALSE,,
"Cyberbullies can have an immediate, devastating impact on their targets.",TRUE,FALSE,,
Cyberbullies rarely use smartphones.,FALSE,TRUE,,
"For stronger passwords, it's better to use a phrase instead of a single word",TRUE,FALSE,,
You don't need to change your passwords.,FALSE,TRUE,,
Updating your operating system doesn't help you become less vulnerable to malware attacks.,FALSE,TRUE,,
Why might someone chatting online be brave enough to say mean things they would not say to someone in person?,They think they will not get caught,They can make more friends by being rude,They can make people think better of them,"They can impress older, smarter people"
"When installing a file from a website, there are many options to install extra software you have not heard of before. Do you:",Read the installation directions carefully and only install what you want,Leave the extra installs checked,"It does not matter, your computer has plenty of space",Do not install the file at all
The size and complexity of networks grew enormously when:,The number of personal computers greatly increased,Spamware caused some computers to breakdown,Only government and university owned computers,The hacktivists started using the internet
Cryptography or codes have been used for thousands of years in order to:,Communicate with some but not others,Figure out where the enemies are in wars,Become a king,Understand foreign culture
"When downloading mobile apps, in order to stay secure you should:",Check that the app comes from a reputable source,Make sure you do not incur hidden costs on download,Avoid having too many apps installed,Download more apps that enhance your security
"Harmful programs used to disrupt computer operation, gather sensitive information, or gain unauthorized access to computer systems are commonly referred to as:",Malware,Adware,Ransomware,Spyware
What is a computer network?,A web of connected computers or devices,Chrome,A computer vulnerability,An internet service provider
What does NSA stands for?,National Security Agency,National Sports Association,National Secret Administration,National Secret Agency
What is always going to be the weakest link of any cybersecurity system?,Humans,Encryption,Malware,Firewalls
Which of these groups exploits cyber vulnerabilities?,All of the above,Governments,Hackers,Criminals
Which of these will NOT help keep your online personal data secure?,Creating one password for all your accounts so it is easier to remember,Being careful about what you post online that may include identifying information,Making different passwords for each site you visit,Keeping all of your software up to date
Which strategy is the best for remembering your password(s)?,Use a password manager and multiple passwords,Save all your passwords in a file so you do not need to remember them,Use the same password for each service you use,Writing down your password(s) and keeping them handy at your desk
Which of the following should you NOT do on the internet?,Store your credit card information on sites so you do not accidentally enter it in wrong in the future,Turn off automatic location,Post where you have been after you leave,Limit who can see statuses on social media
Which of the following precautions will help deter identity theft and scams?,Typing URLs instead of following links from other webpages,Using random pictures as profile pictures,Turn off automatic location,Not using full names as screen names
What should you eliminate from photos that you post online?,All of the above,Any illegal activities,Anything adults would not approve of,Nudity
